Files already downloaded and verified
Files already downloaded and verified
Initial model performance:
Train accuracy: 0.8980, Test accuracy: 0.8401
Round 0: Accuracy = 0.8386, Loss = 0.3108, Decision = 0
Round 1: Accuracy = 0.8380, Loss = 0.3132, Decision = 0
Round 2: Accuracy = 0.8373, Loss = 0.3152, Decision = 0
Round 3: Accuracy = 0.8365, Loss = 0.3181, Decision = 0
Round 4: Accuracy = 0.8363, Loss = 0.3210, Decision = 0
Round 5: Accuracy = 0.8361, Loss = 0.3245, Decision = 0
Round 6: Accuracy = 0.8353, Loss = 0.3269, Decision = 0
Round 7: Accuracy = 0.8345, Loss = 0.3297, Decision = 0
Round 8: Accuracy = 0.8333, Loss = 0.3324, Decision = 0
Round 9: Accuracy = 0.8329, Loss = 0.3347, Decision = 0
Round 10: Accuracy = 0.8322, Loss = 0.3369, Decision = 0
Round 11: Accuracy = 0.8318, Loss = 0.3398, Decision = 0
Round 12: Accuracy = 0.8307, Loss = 0.3426, Decision = 0
Round 13: Accuracy = 0.8294, Loss = 0.3450, Decision = 0
Round 14: Accuracy = 0.8291, Loss = 0.3480, Decision = 0
Round 15: Accuracy = 0.8281, Loss = 0.3513, Decision = 0
Round 16: Accuracy = 0.8272, Loss = 0.3540, Decision = 0
Round 17: Accuracy = 0.8264, Loss = 0.3569, Decision = 0
Round 18: Accuracy = 0.8256, Loss = 0.3596, Decision = 0
Round 19: Accuracy = 0.8242, Loss = 0.3629, Decision = 0
Round 20: Accuracy = 0.8232, Loss = 0.3660, Decision = 0
Round 21: Accuracy = 0.8229, Loss = 0.3691, Decision = 0
Round 22: Accuracy = 0.8221, Loss = 0.3731, Decision = 0
Round 23: Accuracy = 0.8216, Loss = 0.3757, Decision = 0
Round 24: Accuracy = 0.8208, Loss = 0.3788, Decision = 0
Round 25: Accuracy = 0.8204, Loss = 0.3819, Decision = 0
Round 26: Accuracy = 0.8198, Loss = 0.3852, Decision = 0
Round 27: Accuracy = 0.8190, Loss = 0.3886, Decision = 0
Round 28: Accuracy = 0.8185, Loss = 0.3924, Decision = 0
Round 29: Accuracy = 0.8175, Loss = 0.3956, Decision = 0
Round 30: Accuracy = 0.8168, Loss = 0.3988, Decision = 0
Round 31: Accuracy = 0.8157, Loss = 0.4026, Decision = 0
Round 32: Accuracy = 0.8149, Loss = 0.4059, Decision = 0
Round 33: Accuracy = 0.8144, Loss = 0.4088, Decision = 0
Round 34: Accuracy = 0.8135, Loss = 0.4120, Decision = 0
Round 35: Accuracy = 0.8127, Loss = 0.4157, Decision = 0
Round 36: Accuracy = 0.8125, Loss = 0.4193, Decision = 0
Round 37: Accuracy = 0.8114, Loss = 0.4227, Decision = 0
Round 38: Accuracy = 0.8100, Loss = 0.4262, Decision = 0
Round 39: Accuracy = 0.8097, Loss = 0.4296, Decision = 0
Round 40: Accuracy = 0.8087, Loss = 0.4331, Decision = 0
Round 41: Accuracy = 0.8082, Loss = 0.4362, Decision = 0
Round 42: Accuracy = 0.8074, Loss = 0.4395, Decision = 0
Round 43: Accuracy = 0.8065, Loss = 0.4424, Decision = 0
Round 44: Accuracy = 0.8065, Loss = 0.4464, Decision = 0
Round 45: Accuracy = 0.8056, Loss = 0.4501, Decision = 0
Round 46: Accuracy = 0.8047, Loss = 0.4543, Decision = 0
Round 47: Accuracy = 0.8038, Loss = 0.4583, Decision = 0
Round 48: Accuracy = 0.8029, Loss = 0.4614, Decision = 0
Round 49: Accuracy = 0.8014, Loss = 0.4654, Decision = 0
Round 50: Accuracy = 0.8006, Loss = 0.4698, Decision = 0
Round 51: Accuracy = 0.8000, Loss = 0.4738, Decision = 0
Round 52: Accuracy = 0.7989, Loss = 0.4778, Decision = 0
Round 53: Accuracy = 0.7973, Loss = 0.4818, Decision = 0
Round 54: Accuracy = 0.7965, Loss = 0.4854, Decision = 0
Round 55: Accuracy = 0.7955, Loss = 0.4889, Decision = 0
Round 56: Accuracy = 0.7946, Loss = 0.4929, Decision = 0
Round 57: Accuracy = 0.7940, Loss = 0.4980, Decision = 0
Round 58: Accuracy = 0.7936, Loss = 0.5025, Decision = 0
Round 59: Accuracy = 0.7918, Loss = 0.5065, Decision = 0
Round 60: Accuracy = 0.7911, Loss = 0.5110, Decision = 0
