Files already downloaded and verified
Files already downloaded and verified
Initial model performance:
Train accuracy: 0.8980, Test accuracy: 0.8401
Round 0: Accuracy = 0.8389, Loss = 0.3123, Decision = 0
Round 1: Accuracy = 0.8374, Loss = 0.3175, Decision = 0
Round 2: Accuracy = 0.8358, Loss = 0.3223, Decision = 0
Round 3: Accuracy = 0.8349, Loss = 0.3268, Decision = 0
Round 4: Accuracy = 0.8341, Loss = 0.3314, Decision = 0
Round 5: Accuracy = 0.8325, Loss = 0.3363, Decision = 0
Round 6: Accuracy = 0.8317, Loss = 0.3415, Decision = 0
Round 7: Accuracy = 0.8309, Loss = 0.3467, Decision = 0
Round 8: Accuracy = 0.8292, Loss = 0.3521, Decision = 0
Round 9: Accuracy = 0.8274, Loss = 0.3576, Decision = 0
Round 10: Accuracy = 0.8263, Loss = 0.3634, Decision = 0
Round 11: Accuracy = 0.8250, Loss = 0.3688, Decision = 0
Round 12: Accuracy = 0.8235, Loss = 0.3742, Decision = 0
Round 13: Accuracy = 0.8220, Loss = 0.3792, Decision = 0
Round 14: Accuracy = 0.8207, Loss = 0.3849, Decision = 0
Round 15: Accuracy = 0.8197, Loss = 0.3906, Decision = 0
Round 16: Accuracy = 0.8184, Loss = 0.3971, Decision = 0
Round 17: Accuracy = 0.8166, Loss = 0.4032, Decision = 0
Round 18: Accuracy = 0.8153, Loss = 0.4094, Decision = 0
Round 19: Accuracy = 0.8139, Loss = 0.4157, Decision = 0
Round 20: Accuracy = 0.8118, Loss = 0.4218, Decision = 0
Round 21: Accuracy = 0.8101, Loss = 0.4281, Decision = 0
Round 22: Accuracy = 0.8086, Loss = 0.4349, Decision = 0
Round 23: Accuracy = 0.8069, Loss = 0.4414, Decision = 0
Round 24: Accuracy = 0.8056, Loss = 0.4477, Decision = 0
Round 25: Accuracy = 0.8040, Loss = 0.4542, Decision = 0
Round 26: Accuracy = 0.8031, Loss = 0.4605, Decision = 0
Round 27: Accuracy = 0.8013, Loss = 0.4674, Decision = 0
Round 28: Accuracy = 0.7994, Loss = 0.4748, Decision = 0
Round 29: Accuracy = 0.7980, Loss = 0.4824, Decision = 0
Round 30: Accuracy = 0.7962, Loss = 0.4899, Decision = 0
Round 31: Accuracy = 0.7942, Loss = 0.4973, Decision = 0
Round 32: Accuracy = 0.7916, Loss = 0.5049, Decision = 0
Round 33: Accuracy = 0.7904, Loss = 0.5121, Decision = 0
Round 34: Accuracy = 0.7881, Loss = 0.5187, Decision = 0
Round 35: Accuracy = 0.7864, Loss = 0.5264, Decision = 0
Round 36: Accuracy = 0.7846, Loss = 0.5342, Decision = 0
Round 37: Accuracy = 0.7830, Loss = 0.5420, Decision = 0
Round 38: Accuracy = 0.7810, Loss = 0.5495, Decision = 0
Round 39: Accuracy = 0.7788, Loss = 0.5580, Decision = 0
Round 40: Accuracy = 0.7776, Loss = 0.5658, Decision = 0
Round 41: Accuracy = 0.7753, Loss = 0.5741, Decision = 0
Round 42: Accuracy = 0.7740, Loss = 0.5826, Decision = 0
Round 43: Accuracy = 0.7720, Loss = 0.5908, Decision = 0
Round 44: Accuracy = 0.7701, Loss = 0.5992, Decision = 0
Round 45: Accuracy = 0.7682, Loss = 0.6080, Decision = 0
Round 46: Accuracy = 0.7658, Loss = 0.6163, Decision = 0
Round 47: Accuracy = 0.7642, Loss = 0.6256, Decision = 0
