Files already downloaded and verified
Files already downloaded and verified
Initial model performance:
Train accuracy: 0.8332, Test accuracy: 0.7913
Round 0: Accuracy = 0.7903, Loss = 0.5498, Decision = 0
Round 1: Accuracy = 0.7880, Loss = 0.5566, Decision = 0
Round 2: Accuracy = 0.7864, Loss = 0.5641, Decision = 0
Round 3: Accuracy = 0.7846, Loss = 0.5718, Decision = 0
Round 4: Accuracy = 0.7828, Loss = 0.5788, Decision = 0
Round 5: Accuracy = 0.7814, Loss = 0.5863, Decision = 0
Round 6: Accuracy = 0.7791, Loss = 0.5941, Decision = 0
Round 7: Accuracy = 0.7775, Loss = 0.6017, Decision = 0
Round 8: Accuracy = 0.7758, Loss = 0.6089, Decision = 0
Round 9: Accuracy = 0.7738, Loss = 0.6163, Decision = 0
Round 10: Accuracy = 0.7727, Loss = 0.6248, Decision = 0
Round 11: Accuracy = 0.7703, Loss = 0.6327, Decision = 0
Round 12: Accuracy = 0.7684, Loss = 0.6412, Decision = 0
Round 13: Accuracy = 0.7669, Loss = 0.6494, Decision = 0
Round 14: Accuracy = 0.7650, Loss = 0.6572, Decision = 0
Round 15: Accuracy = 0.7624, Loss = 0.6654, Decision = 0
Round 16: Accuracy = 0.7602, Loss = 0.6733, Decision = 0
Round 17: Accuracy = 0.7579, Loss = 0.6819, Decision = 0
Round 18: Accuracy = 0.7558, Loss = 0.6905, Decision = 0
Round 19: Accuracy = 0.7532, Loss = 0.6993, Decision = 0
Round 20: Accuracy = 0.7507, Loss = 0.7077, Decision = 0
Round 21: Accuracy = 0.7485, Loss = 0.7160, Decision = 0
Round 22: Accuracy = 0.7466, Loss = 0.7250, Decision = 0
Round 23: Accuracy = 0.7448, Loss = 0.7338, Decision = 0
Round 24: Accuracy = 0.7432, Loss = 0.7429, Decision = 0
Round 25: Accuracy = 0.7412, Loss = 0.7510, Decision = 0
Round 26: Accuracy = 0.7391, Loss = 0.7602, Decision = 0
Round 27: Accuracy = 0.7370, Loss = 0.7696, Decision = 0
Round 28: Accuracy = 0.7340, Loss = 0.7781, Decision = 0
Round 29: Accuracy = 0.7321, Loss = 0.7873, Decision = 0
Round 30: Accuracy = 0.7302, Loss = 0.7965, Decision = 0
Round 31: Accuracy = 0.7280, Loss = 0.8058, Decision = 0
Round 32: Accuracy = 0.7262, Loss = 0.8152, Decision = 0
Round 33: Accuracy = 0.7236, Loss = 0.8247, Decision = 0
Round 34: Accuracy = 0.7212, Loss = 0.8354, Decision = 0
Round 35: Accuracy = 0.7193, Loss = 0.8448, Decision = 0
Round 36: Accuracy = 0.7167, Loss = 0.8543, Decision = 0
Round 37: Accuracy = 0.7149, Loss = 0.8636, Decision = 0
