Files already downloaded and verified
Files already downloaded and verified
Initial model performance:
Train accuracy: 0.8332, Test accuracy: 0.7913
Round 0: Accuracy = 0.7893, Loss = 0.5540, Decision = 0
Round 1: Accuracy = 0.7857, Loss = 0.5651, Decision = 0
Round 2: Accuracy = 0.7830, Loss = 0.5771, Decision = 0
Round 3: Accuracy = 0.7796, Loss = 0.5896, Decision = 0
Round 4: Accuracy = 0.7769, Loss = 0.6011, Decision = 0
Round 5: Accuracy = 0.7743, Loss = 0.6136, Decision = 0
Round 6: Accuracy = 0.7708, Loss = 0.6260, Decision = 0
Round 7: Accuracy = 0.7684, Loss = 0.6389, Decision = 0
Round 8: Accuracy = 0.7655, Loss = 0.6514, Decision = 0
Round 9: Accuracy = 0.7626, Loss = 0.6638, Decision = 0
Round 10: Accuracy = 0.7595, Loss = 0.6778, Decision = 0
Round 11: Accuracy = 0.7563, Loss = 0.6910, Decision = 0
Round 12: Accuracy = 0.7532, Loss = 0.7048, Decision = 0
Round 13: Accuracy = 0.7505, Loss = 0.7186, Decision = 0
Round 14: Accuracy = 0.7470, Loss = 0.7319, Decision = 0
Round 15: Accuracy = 0.7435, Loss = 0.7455, Decision = 0
Round 16: Accuracy = 0.7403, Loss = 0.7588, Decision = 0
Round 17: Accuracy = 0.7361, Loss = 0.7734, Decision = 0
Round 18: Accuracy = 0.7327, Loss = 0.7886, Decision = 0
Round 19: Accuracy = 0.7293, Loss = 0.8034, Decision = 0
Round 20: Accuracy = 0.7261, Loss = 0.8179, Decision = 0
Round 21: Accuracy = 0.7235, Loss = 0.8317, Decision = 0
Round 22: Accuracy = 0.7204, Loss = 0.8468, Decision = 0
Round 23: Accuracy = 0.7170, Loss = 0.8618, Decision = 0
Round 24: Accuracy = 0.7146, Loss = 0.8771, Decision = 0
Round 25: Accuracy = 0.7113, Loss = 0.8911, Decision = 0
Round 26: Accuracy = 0.7070, Loss = 0.9062, Decision = 0
Round 27: Accuracy = 0.7039, Loss = 0.9219, Decision = 0
Round 28: Accuracy = 0.6993, Loss = 0.9361, Decision = 0
Round 29: Accuracy = 0.6968, Loss = 0.9516, Decision = 0
Round 30: Accuracy = 0.6935, Loss = 0.9675, Decision = 0
Round 31: Accuracy = 0.6894, Loss = 0.9827, Decision = 0
Round 32: Accuracy = 0.6856, Loss = 0.9977, Decision = 0
Round 33: Accuracy = 0.6814, Loss = 1.0131, Decision = 0
Round 34: Accuracy = 0.6770, Loss = 1.0294, Decision = 0
Round 35: Accuracy = 0.6734, Loss = 1.0451, Decision = 0
Round 36: Accuracy = 0.6691, Loss = 1.0612, Decision = 0
Round 37: Accuracy = 0.6653, Loss = 1.0756, Decision = 0
Round 38: Accuracy = 0.6618, Loss = 1.0916, Decision = 0
Round 39: Accuracy = 0.6583, Loss = 1.1070, Decision = 0
Round 40: Accuracy = 0.6547, Loss = 1.1231, Decision = 0
Round 41: Accuracy = 0.6511, Loss = 1.1393, Decision = 0
Round 42: Accuracy = 0.6464, Loss = 1.1553, Decision = 0
Round 43: Accuracy = 0.6424, Loss = 1.1708, Decision = 0
Round 44: Accuracy = 0.6389, Loss = 1.1870, Decision = 0
Round 45: Accuracy = 0.6350, Loss = 1.2029, Decision = 0
Round 46: Accuracy = 0.6317, Loss = 1.2185, Decision = 0
Round 47: Accuracy = 0.6282, Loss = 1.2341, Decision = 0
Round 48: Accuracy = 0.6246, Loss = 1.2501, Decision = 0
Round 49: Accuracy = 0.6221, Loss = 1.2658, Decision = 0
Round 50: Accuracy = 0.6187, Loss = 1.2814, Decision = 0
Round 51: Accuracy = 0.6156, Loss = 1.2976, Decision = 0
Round 52: Accuracy = 0.6114, Loss = 1.3142, Decision = 0
